,Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
183,184,Mechanical Engineering Technology (MET),Bachelors,74200,116500,49%
184,185,Operations Management (OM),Bachelors,72100,116200,44%
185,186,Food Science & Technology,Bachelors,61700,116100,49%
186,187,Agricultural Economics & Business,Bachelors,63700,115800,56%
187,188,Biochemistry (BCH),Bachelors,58900,115600,64%
188,188,Computer Networking Systems,Bachelors,67100,115600,49%
189,188,Product Design,Bachelors,72100,115600,38%
190,191,Mechanical Design,Bachelors,70000,115500,50%
191,192,Labor Relations,Bachelors,59500,115300,42%
192,192,Information Assurance,Bachelors,63500,115300,60%
193,194,Business Operations,Bachelors,64600,115100,-
194,195,Environmental Policy Analysis & Planning,Bachelors,60800,114900,68%
195,196,Information Technology (IT),Bachelors,69800,114800,47%
196,196,International Development Studies,Bachelors,57200,114800,62%
197,198,Rhetoric,Bachelors,60300,114700,42%
198,199,Aviation Management,Bachelors,58900,114600,58%
199,199,Consumer Economics,Bachelors,62400,114600,45%
200,201,Electromechanical Engineering,Bachelors,82400,114500,62%
201,201,Informatics,Bachelors,81600,114500,45%
202,203,Computer Security,Bachelors,78500,114100,40%
203,203,Software Applications & Programming,Bachelors,73700,114100,33%
204,203,Business & Marketing,Bachelors,61400,114100,47%
205,206,Social Ecology,Bachelors,56200,114000,-
206,207,Accounting & Auditing,Bachelors,67600,113900,42%
207,207,Database Management,Bachelors,78600,113900,-
208,207,Industrial Management,Bachelors,67800,113900,51%
209,210,Politics,Bachelors,61300,113800,50%
210,211,Business Technology Management,Bachelors,69000,113700,-
211,211,Construction Science & Management,Bachelors,75700,113700,73%
212,211,Political Science/Public Law,Bachelors,60000,113700,70%
213,211,Government & International Politics (GVIP),Bachelors,60700,113700,43%
214,215,Aviation Flight Science (AFL),Bachelors,64200,113500,49%
215,216,Engineering Technology (ET),Bachelors,67600,113400,50%
216,217,Information Technology (IT) & Systems,Bachelors,72000,113300,48%
217,218,Telecommunications Management,Bachelors,64700,112900,44%
218,219,Agribusiness,Bachelors,58600,112700,54%
219,219,Occupational Health and Safety,Bachelors,69000,112700,69%
220,219,Physical Therapy,Bachelors,57500,112700,88%
221,222,Industrial Safety,Bachelors,61100,112600,80%
222,222,Music Production & Engineering,Bachelors,55100,112600,51%
223,224,Business & Finance,Bachelors,63400,112400,56%
224,224,Civil Engineering Technology (CET),Bachelors,67900,112400,60%
225,226,Chemistry,Bachelors,60200,112300,56%
226,226,French Literature,Bachelors,56300,112300,50%
227,228,Operations & Supply Chain Management,Bachelors,71500,112200,45%
228,229,Computer Information Systems,Bachelors,67100,111900,45%
229,229,Marketing,Bachelors,60200,111900,41%
230,231,Finance & Banking,Bachelors,65100,111800,46%
231,232,Computer Programming,Bachelors,68800,111700,50%
232,233,Marketing & Management,Bachelors,59700,111500,47%
233,233,Supply Chain Management,Bachelors,71300,111500,42%
234,235,Technical Communication,Bachelors,57200,111400,44%
235,236,Cell Biology,Bachelors,58500,111300,59%
236,237,Networks & Telecommunications,Bachelors,64600,111100,49%
237,238,Electronics Engineering Technology (EET),Bachelors,74500,110800,50%
238,239,Biopsychology,Bachelors,61600,110700,74%
239,239,Applied Networking & Systems Administration,Bachelors,67500,110700,48%
240,241,Geological Engineering,Bachelors,70500,110600,50%
241,242,Business Management & Marketing,Bachelors,58700,110500,46%
242,242,Spanish Literature,Bachelors,59500,110500,48%
243,244,Real Estate Development,Bachelors,68900,110400,-
244,245,Electronics & Computer Technology,Bachelors,62300,110300,-
245,245,Industrial Technology (IT),Bachelors,74100,110300,48%
246,247,Accounts,Bachelors,69100,110200,44%
247,247,Construction Technology,Bachelors,73700,110200,-
248,247,Risk Management,Bachelors,65700,110200,53%
249,250,Industrial Engineering Technology,Bachelors,77600,110100,50%
250,250,Genetics,Bachelors,63200,110100,73%
251,252,Government & Politics,Bachelors,62100,110000,51%
252,252,Microbiology & Immunology,Bachelors,65400,110000,75%
253,254,Digital Design,Bachelors,57800,109700,40%
254,254,Hotel Management,Bachelors,58000,109700,47%
255,254,Italian Language,Bachelors,58400,109700,41%
256,254,Safety Management,Bachelors,69300,109700,67%
257,258,Environmental Health & Safety,Bachelors,66500,109600,66%
258,258,Marketing Communication,Bachelors,54700,109600,42%
259,258,Political Science,Bachelors,59800,109600,47%
260,258,Welding Engineering Technology,Bachelors,83700,109600,44%
261,262,Industrial Psychology,Bachelors,58100,109500,50%
262,263,Pharmaceutical Sciences (PS),Bachelors,62000,109200,67%
263,263,Marketing & Communications,Bachelors,58400,109200,46%
264,265,Network Security,Bachelors,69900,109100,52%
265,266,Industrial Design (ID),Bachelors,64600,109000,40%
266,266,Sales & Marketing,Bachelors,62800,109000,48%
267,268,Environmental Science & Policy,Bachelors,58800,108800,57%
268,268,Organizational Behavior,Bachelors,65200,108800,57%
269,270,Business Data Analysis,Bachelors,74800,108700,38%
270,271,Physics & Astronomy,Bachelors,67800,108600,32%
271,272,Philosophy,Bachelors,62700,108400,42%
272,273,Accounting,Bachelors,64200,108300,42%
273,273,German Language,Bachelors,60600,108300,43%
274,273,Comparative Literature,Bachelors,54500,108300,49%
275,276,Architecture,Bachelors,60000,108100,52%
276,277,Advertising Design,Bachelors,63200,108000,32%
277,278,Accounting & Computer Systems,Bachelors,77800,107500,-
278,278,Financial Accounting,Bachelors,65600,107500,49%
279,280,Risk Management & Insurance,Bachelors,69700,107400,46%
280,281,Urban Planning,Bachelors,57600,107300,56%
281,282,Accounting & Management,Bachelors,63900,107000,55%
282,282,Cell & Molecular Biology,Bachelors,59800,107000,66%
283,282,Manufacturing Management,Bachelors,73200,107000,41%
284,285,Computer & Network Administration,Bachelors,65700,106800,46%
285,286,Occupational Therapy (OT),Bachelors,63500,106700,86%
286,287,Manufacturing Engineering Technology,Bachelors,76800,106500,50%
287,288,Advertising,Bachelors,55100,106400,33%
288,288,Project Management,Bachelors,66500,106400,56%
289,290,Organizational Psychology,Bachelors,58100,106300,52%
290,291,Insurance,Bachelors,66100,106200,51%
291,292,Labor Studies,Bachelors,55300,106000,50%
292,293,Applied Computer Science,Bachelors,76500,105900,41%
293,293,Geology,Bachelors,57800,105900,55%
294,293,Marketing Management,Bachelors,60900,105900,41%
295,296,Design,Bachelors,62400,105800,39%
296,296,Radiation Therapy,Bachelors,78100,105800,91%
297,296,Strategic Communication,Bachelors,54900,105800,43%
298,296,Transportation & Logistics Management,Bachelors,67700,105800,48%
299,300,Electronic Systems Technology (EST),Bachelors,89500,105600,44%
300,300,Latin American Studies,Bachelors,54900,105600,60%
301,302,Agronomy,Bachelors,56400,105300,67%
302,302,Environmental Health,Bachelors,58500,105300,68%
303,304,Applied Technology,Bachelors,67500,105200,49%
304,305,Accounting Information Systems,Bachelors,73000,104800,54%
305,305,Crop Science,Bachelors,56400,104800,56%
306,305,Microbiology,Bachelors,56800,104800,69%
307,308,Speech & Drama,Bachelors,47100,104700,-
308,309,Entrepreneurship,Bachelors,63600,104300,47%
309,309,Corporate Communications,Bachelors,57300,104300,46%
310,311,Environmental Design,Bachelors,55600,104200,54%
311,312,Advertising & Marketing Communications,Bachelors,56800,104100,39%
312,313,Digital Media Design,Bachelors,53800,104000,27%
313,313,Hotel Administration,Bachelors,79700,104000,35%
314,313,Math & Science,Bachelors,65900,104000,66%
315,316,Aeronautics,Bachelors,72600,103900,62%
316,317,International Studies,Bachelors,58100,103800,50%
317,317,Urban & Regional Planning,Bachelors,61700,103800,60%
318,319,Computer Graphics Technology (CGT),Bachelors,59400,103700,45%
319,320,Food Science,Bachelors,62500,103400,49%
320,321,Global Business Management,Bachelors,65700,103100,52%
321,321,Police Science,Bachelors,63400,103100,-
322,323,Product Design Engineering,Bachelors,75700,102900,41%
323,324,Anthropology & English,Bachelors,53100,102700,-
324,324,Construction Engineering Technology,Bachelors,65700,102700,60%
325,326,Sociology & Organizational Studies,Bachelors,63800,102500,53%
326,327,Management & Organization,Bachelors,79500,102400,53%
327,328,Logistics,Bachelors,67900,102300,41%
328,329,Information Systems Security,Bachelors,66200,102100,51%
329,329,International Affairs,Bachelors,60300,102100,51%
330,331,Biological Sciences,Bachelors,58600,101900,67%
331,331,Personal Financial Planning,Bachelors,62700,101900,59%
332,333,Environmental Science,Bachelors,57800,101600,61%
333,334,Theatre & Drama Studies,Bachelors,54800,101400,50%
334,335,Cinema Studies,Bachelors,54800,101200,37%
335,335,Land Surveying,Bachelors,59400,101200,57%
336,337,Business Communication,Bachelors,60000,100800,47%
337,338,German Studies,Bachelors,58600,100600,45%
338,338,New Media Design,Bachelors,64900,100600,28%
339,340,International Trade & Business,Bachelors,62800,100300,23%
340,340,Technology,Bachelors,64900,100300,-
341,340,Textile & Apparel Studies,Bachelors,55000,100300,24%
342,343,Advertising & Promotion,Bachelors,55100,100200,47%
343,343,City & Regional Planning,Bachelors,61600,100200,69%
344,345,Advertising & Marketing,Bachelors,57000,99800,39%
345,346,Aviation Maintenance Technology,Bachelors,59000,99700,62%
346,346,English Literature,Bachelors,55600,99700,46%
347,346,Urban Studies,Bachelors,59500,99700,60%
348,346,Agricultural Science,Bachelors,55100,99700,51%
349,350,Management,Bachelors,59800,99600,49%
350,351,History & Politics,Bachelors,56500,99400,59%
351,351,Human Biology,Bachelors,59500,99400,72%
